,medical_school,short_name,cost_type,ownership,residence_status,insurance_required,insurance_waived,cost,year
0,Albany Medical College,Albany,"Tuition, Fees, and Health Insurance",Private,Resident,Yes,Yes,43606.0,2005.0
1,Albany Medical College,Albany,"Tuition, Fees, and Health Insurance",Private,Nonresident,Yes,Yes,43606.0,2005.0
2,Albany Medical College,Albany,Tuition,Private,Resident,Yes,Yes,41224.0,2005.0
3,Albany Medical College,Albany,Tuition,Private,Nonresident,Yes,Yes,41224.0,2005.0
4,Albany Medical College,Albany,Health Insurance,Private,Resident,Yes,Yes,1803.0,2005.0
5,Albany Medical College,Albany,Health Insurance,Private,Nonresident,Yes,Yes,180.0,2005.0
6,Albany Medical College,Albany,Fees,Private,Resident,Yes,Yes,30.0,2005.0
7,Albany Medical College,Albany,Fees,Private,Nonresident,Yes,Yes,30.0,2005.0
8,Albert Einstein College of Medicine,Einstein,"Tuition, Fees, and Health Insurance",Private,Resident,Yes,No,39800.0,2005.0
9,Albert Einstein College of Medicine,Einstein,"Tuition, Fees, and Health Insurance",Private,Nonresident,Yes,No,39800.0,2005.0
10,Albert Einstein College of Medicine,Einstein,Tuition,Private,Resident,Yes,No,37550.0,2005.0
11,Albert Einstein College of Medicine,Einstein,Tuition,Private,Nonresident,Yes,No,37550.0,2005.0
12,Albert Einstein College of Medicine,Einstein,Health Insurance,Private,Resident,Yes,No,,2005.0
13,Albert Einstein College of Medicine,Einstein,Health Insurance,Private,Nonresident,Yes,No,,2005.0
14,Albert Einstein College of Medicine,Einstein,Fees,Private,Resident,Yes,No,2250.0,2005.0
15,Albert Einstein College of Medicine,Einstein,Fees,Private,Nonresident,Yes,No,2250.0,2005.0
16,Baylor College of Medicine,Baylor,"Tuition, Fees, and Health Insurance",Private,Resident,Yes,Yes,12607.0,2005.0
17,Baylor College of Medicine,Baylor,"Tuition, Fees, and Health Insurance",Private,Nonresident,Yes,Yes,25707.0,2005.0
18,Baylor College of Medicine,Baylor,Tuition,Private,Resident,Yes,Yes,6550.0,2005.0
19,Baylor College of Medicine,Baylor,Tuition,Private,Nonresident,Yes,Yes,19650.0,2005.0
20,Baylor College of Medicine,Baylor,Health Insurance,Private,Resident,Yes,Yes,2024.0,2005.0
21,Baylor College of Medicine,Baylor,Health Insurance,Private,Nonresident,Yes,Yes,2024.0,2005.0
22,Baylor College of Medicine,Baylor,Fees,Private,Resident,Yes,Yes,4033.0,2005.0
23,Baylor College of Medicine,Baylor,Fees,Private,Nonresident,Yes,Yes,4033.0,2005.0
24,Boston University School of Medicine,Boston,"Tuition, Fees, and Health Insurance",Private,Resident,Yes,Yes,42118.0,2005.0
25,Boston University School of Medicine,Boston,"Tuition, Fees, and Health Insurance",Private,Nonresident,Yes,Yes,42118.0,2005.0
26,Boston University School of Medicine,Boston,Tuition,Private,Resident,Yes,Yes,39510.0,2005.0
27,Boston University School of Medicine,Boston,Tuition,Private,Nonresident,Yes,Yes,39510.0,2005.0
28,Boston University School of Medicine,Boston,Health Insurance,Private,Resident,Yes,Yes,2158.0,2005.0
29,Boston University School of Medicine,Boston,Health Insurance,Private,Nonresident,Yes,Yes,2158.0,2005.0
30,Boston University School of Medicine,Boston,Fees,Private,Resident,Yes,Yes,450.0,2005.0
31,Boston University School of Medicine,Boston,Fees,Private,Nonresident,Yes,Yes,450.0,2005.0
32,Brody School of Medicine at East Carolina University,East Carolina-Brody,"Tuition, Fees, and Health Insurance",Public,Resident,Yes,Yes,9068.0,2005.0
33,Brody School of Medicine at East Carolina University,East Carolina-Brody,"Tuition, Fees, and Health Insurance",Public,Nonresident,,,,2005.0
